word_id,source_range,單字,詞性,定義,用法,詞性變化,三態（現在式-過去式-過去分詞）,現在分詞（V-ing）,常見搭配,相關字,同義字,反義字,範例
W001,1,inundate,v.,淹沒；使充滿、大量湧入,試題句型為 be inundated by + 災害，表示村莊被海嘯淹沒；也可用於資訊或要求大量湧入。,試卷擷取形為 inundated；名詞 inundation。,inundate-inundated-inundated,inundating,be inundated by：被……淹沒；be inundated with requests：被請求淹沒；inundate an area：淹沒某地,tsunami：海嘯；disaster：災害；coastal village：沿海村莊,flood：淹沒；overwhelm：使不堪負荷,drain：排乾,The coastal village was inundated by the tsunami.：沿海村莊被海嘯淹沒。
W002,2,implacable,adj.,難以平息的；無法和解的；不饒人的,形容敵意、仇敵或反對力量持續且無法安撫；試題為 implacable enemies。,名詞 implacability；副詞 implacably。,,,implacable enemy：不共戴天的敵人；implacable hostility：難以化解的敵意；implacable opposition：強硬反對,enemy：敵人；hostility：敵意；persecution：迫害,relentless：不鬆懈的；unrelenting：不讓步的,placable：可安撫的；forgiving：寬容的,He faced implacable enemies throughout his career.：他在職涯中面對難以和解的敵人。
W469,2,placable,adj.,可安撫的；可和解的,字首反義詞補充列；去除字首 im-，形成反義詞。,去除字首 im-，形成反義詞。,,,placable opponent：可安撫的對手；placable mood：可平息的情緒；become placable：變得可和解,peace：和平；reconciliation：和解；calm：平靜,forgiving：寬容的；appeasable：可安撫的,implacable：難以平息的,placable is the prefix antonym form recorded for review.：placable 是本列補充的字首反義詞，供複習使用。
W003,3,desist,v.,停止；中止某行為,正式用語，常用 desist from + V-ing/名詞；試題為 desist from threatening his wife。,名詞 desistance。,desist-desisted-desisted,desisting,desist from threatening：停止威脅；desist from action：停止行動；order someone to desist：命令某人停止,threaten：威脅；restraining order：禁制令；judge：法官,cease：停止；refrain：克制不做,continue：繼續；persist：持續,The judge ordered him to desist from threatening his wife.：法官命令他停止威脅妻子。
W004,4,keep one's eyes peeled,phr.,密切注意；留心觀察,口語片語，keep + 所有格 + eyes peeled，表示持續注意某人事物；試題選 peeled。,peeled 是片語固定形，不作一般形容詞解讀。,,,keep your eyes peeled：留心看著；keep an eye out for：注意尋找；watch closely：仔細觀察,lookout：留意；alert：警覺；mall：商場,stay alert：保持警覺；be on the lookout：留心,ignore：忽視,Keep your eyes peeled for John at the mall.：在商場留意 John 的身影。
W005,5,en masse,adv./phr.,全體一起；成群地,法語借詞作副詞片語，表示一群人同時或集體移動；試題為 moved en masse。,固定片語，不拆成單字。,,,move en masse：集體移動；resign en masse：集體辭職；vote en masse：集體投票,crowd：人群；corps：隊伍；cafeteria：自助餐廳,collectively：集體地；all together：一起,individually：個別地,The students moved en masse toward the cafeteria.：學生們成群走向自助餐廳。
W006,6,didactic,adj.,教誨性的；說教的；教學用的,形容文字、談話或作品目的在教導；試題指 Socrates 的 conversations 具有教誨性。,名詞 didacticism；副詞 didactically。,,,didactic conversation：教誨性的對話；didactic literature：教誨文學；didactic tone：說教口吻,Socrates：蘇格拉底；teaching：教導；wisdom：智慧,instructive：有教育意義的；educational：教育性的,uninstructive：無教育意義的,Plato recorded Socrates's didactic conversations.：柏拉圖記錄了蘇格拉底具教誨性的對話。
W007,7,divergent,adj.,分歧的；相異的,常修飾 opinions、views、paths，表示彼此朝不同方向發展；試題為 divergent opinions。,動詞 diverge；名詞 divergence。,,,divergent opinions：分歧意見；divergent views：不同觀點；diverge from：偏離……,opinion：意見；identical：相同的；topic：主題,different：不同的；varying：各異的,convergent：匯合的；similar：相似的,The twins have divergent opinions on politics.：這對雙胞胎在政治上意見分歧。
W008,8,prowess,n.,高超能力；專長；本領,正式名詞，常指在某領域展現的卓越能力；試題與 maladroit teaching strategies 對比。,形容詞可用 skillful 或 proficient 表達近義。,,,teaching prowess：教學本領；intellectual prowess：智識能力；military prowess：軍事才能,teacher：教師；strategy：策略；maladroit：笨拙的,skill：技巧；expertise：專業能力,incompetence：無能,Her teaching prowess impressed the students.：她的教學能力令學生印象深刻。
W009,9,affinity,n.,親近感；共鳴；密切關係,常用 feel an affinity with/for + 人或事物，表示因相似經驗而產生共鳴。,形容詞 affiliated 在組織關係上相關，但不等同本義。,,,feel an affinity with：對……有共鳴；natural affinity for：天生喜愛；close affinity：密切關係,writer：作家；description：描述；common ground：共同點,rapport：融洽；kinship：親近感,aversion：厭惡,I felt an affinity with the writer's world.：我對作家描寫的世界產生共鳴。
